date_key,full_date,year,month,quarter
384,2019-01-19,2019,1,1
385,2019-01-20,2019,1,1
386,2019-01-21,2019,1,1
387,2019-01-22,2019,1,1
388,2019-01-23,2019,1,1
389,2019-01-24,2019,1,1
390,2019-01-25,2019,1,1
391,2019-01-26,2019,1,1
392,2019-01-27,2019,1,1
393,2019-01-28,2019,1,1
394,2019-01-29,2019,1,1
395,2019-01-30,2019,1,1
396,2019-01-31,2019,1,1
397,2019-02-01,2019,2,1
398,2019-02-02,2019,2,1
399,2019-02-03,2019,2,1
400,2019-02-04,2019,2,1
401,2019-02-05,2019,2,1
402,2019-02-06,2019,2,1
403,2019-02-07,2019,2,1
404,2019-02-08,2019,2,1
405,2019-02-09,2019,2,1
406,2019-02-10,2019,2,1
407,2019-02-11,2019,2,1
408,2019-02-12,2019,2,1
409,2019-02-13,2019,2,1
410,2019-02-14,2019,2,1
411,2019-02-15,2019,2,1
412,2019-02-16,2019,2,1
413,2019-02-17,2019,2,1
414,2019-02-18,2019,2,1
415,2019-02-19,2019,2,1
416,2019-02-20,2019,2,1
417,2019-02-21,2019,2,1
418,2019-02-22,2019,2,1
419,2019-02-23,2019,2,1
420,2019-02-24,2019,2,1
421,2019-02-25,2019,2,1
422,2019-02-26,2019,2,1
423,2019-02-27,2019,2,1
424,2019-02-28,2019,2,1
425,2019-03-01,2019,3,1
426,2019-03-02,2019,3,1
427,2019-03-03,2019,3,1
428,2019-03-04,2019,3,1
429,2019-03-05,2019,3,1
430,2019-03-06,2019,3,1
431,2019-03-07,2019,3,1
432,2019-03-08,2019,3,1
433,2019-03-09,2019,3,1
434,2019-03-10,2019,3,1
435,2019-03-11,2019,3,1
436,2019-03-12,2019,3,1
437,2019-03-13,2019,3,1
438,2019-03-14,2019,3,1
439,2019-03-15,2019,3,1
440,2019-03-16,2019,3,1
441,2019-03-17,2019,3,1
442,2019-03-18,2019,3,1
443,2019-03-19,2019,3,1
444,2019-03-20,2019,3,1
445,2019-03-21,2019,3,1
446,2019-03-22,2019,3,1
447,2019-03-23,2019,3,1
